id,title,url,category,main_photo,content,video,keywords,comments,posted_at
2055381007120,Telefonat Android do të vijnë me lidhje satelitore,https://telegrafi.com/telefonat-android-te-vijne-lidhje-satelitore/,TEKNOLOGJI / LAJME TEKNOLOGJI,https://telegrafi.com/wp-content/uploads/2023/01/Iridium-780x439.png,"Një partneritet i ri midis firmës së telefonave satelitorë Iridium dhe gjigantit të çipave Qualcomm do të sjellë lidhjen satelitore me telefonat inteligjentë Android premium më vonë gjatë vitit.
Kjo do të thotë se në vendet ku nuk ka mbulim celular, telefonat mund të lidhen me satelitë kalimtarë për të dërguar dhe marrë mesazhe, transmeton Telegrafi.
Reklama
Çipat e Qualcomm gjenden në shumë telefona inteligjentë të pajisur me Android.
Apple në anën tjetër solli një veçori satelitore për linjën e iPhone 14 në shtator 2022.
Shërbimi është aktualisht i disponueshëm vetëm për dërgimin dhe marrjen e mesazheve bazë në rast urgjence.
Prodhuesi britanik i smartfonëve Bullitt ishte i pari që prezantoi shërbimin e tij satelitor, duke mposhtur Apple. Është gjithashtu për përdorim urgjent dhe do të jetë i disponueshëm në zona të zgjedhura kur të dalë për herë të parë.
Reklama
Partneriteti i ri do ta bëjë të njëjtin shërbim të qasshëm për miliona më shumë përdorues të telefonave inteligjentë, pa i lidhur ata me një markë të caktuar – por do të jetë në dorë të prodhuesit që ta mundësojë atë.
Iridium është sistemi origjinal telefonik satelitor, duke dërguar satelitin e tij të parë në orbitë në 1997. Ai përfundoi një rifreskim të rrjetit të tij prej 75 anije kozmike në 2019.
Satelitët mbulojnë të gjithë globin dhe fluturojnë në orbitë të ulët, rreth 780 kilometra me Tokën dhe grupet e tyre mund të komunikojnë me njëri-tjetrin, duke kaluar të dhëna mes tyre.
Qualcomm tha se fillimisht funksioni i ri, i quajtur Snapdragon Satellite, do të inkorporohet vetëm në çipat e tij premium, kështu që nuk ka gjasa të shfaqet në pajisjet buxhetore.
Reklama
Por përfundimisht do të lansohet në tableta, laptopë dhe madje edhe automjete, dhe gjithashtu do të bëhet një shërbim që nuk kufizohet vetëm në komunikimin e urgjencës – megjithëse ka të ngjarë të ketë një tarifë për këtë.
Lidhja satelitore konsiderohet gjerësisht si kufiri tjetër për telefonat celularë sepse trajton problemin e – zonave ku nuk ka qasje në rrjet. Këto priren të jenë më të zakonshme në zonat rurale ose të largëta. /Telegrafi/",,AndroidQualcommQualcomm Snapdragon,,10.01.2023 08:51:58
2055381089936,Microsoft po shfaq një reklamë në The Washington Post për të thënë se nuk ka asgjë kundër sindikatave,https://telegrafi.com/microsoft-po-shfaq-nje-reklame-ne-washington-post-per-te-thene-se-nuk-ka-asgje-kunder-sindikatave/,TEKNOLOGJI / LAJME TEKNOLOGJI,https://telegrafi.com/wp-content/uploads/2022/12/acastro_STK109_microsoft_02-780x439.png,"Microsoft ka bërë përpjekje për të inkurajuar rregullatorët që të miratojnë marrëveshjen e propozuar prej 64.4 miliardë eurove (68.7 miliardë dollarësh) për Activision Blizzard dhe në lëvizjen e saj të fundit, kompania po shfaq një reklamë në The Washington Post ku shprehet pranimi i sindikatës nga gjigandi i teknologjisë.
Reklama është bashkë-nënshkruar nga Communications Workers of America (CWA), e cila përfaqëson punëtorët në industri si komunikimi dhe media.
Reklama
Pause
Loaded:
Remaining Time 
-1:35
Unmute
×
“Ndërsa hyjmë në një vit të ri, ne mbetemi të përkushtuar për të krijuar vendet më të mira të punës që mundemi për njerëzit që bëjnë jetesën në sektorin e teknologjisë”, thuhet në fillim të reklamës, raporton The Verge, transmeton Telegrafi.
Reklama dhe shkrimi që Microsoft e ka publikuar në The Washington Post
Reklama
“Kur si punëtorët ashtu edhe menaxhimi i sjellin zërat e tyre në tryezën e bisedimeve, punonjësit, aksionerët dhe klientët përfitojnë njësoj”, vazhdon tutje reklama.
Microsoft gjithashtu pranoi sindikata e re ZeniMax Media, të cilën e njohu zyrtarisht këtë javë, si dhe marrëveshjen e neutralitetit të punës që arriti me CWA në qershor.
“Gjatë vitit 2023, ne shpresojmë të sjellim të njëjtën marrëveshje dhe parime në Activision Blizzard, të cilat Microsoft ka propozuar të kërkojë”, shkruan Microsoft në reklamë.
Reklama po shfaqet rreth një muaj pasi Komisioni Federal i Tregtisë (FTC) ngriti një paditi duke tentuar të bllokojë blerjen e Microsoft Activision Blizzard. Në përgjigjen e tyre ndaj padisë, Microsoft argumentoi se struktura e FTC-së shkelte Kushtetutën e SHBA-së, por u tërhoq nga pretendimi mjaft i madh këtë javë.
Reklama
Microsoft në thelb kërkoi falje për këtë edhe në reklamën e saj në gazetë, duke njohur “shpirtin” që e çoi Kongresin të themelonte agjencinë. /Telegrafi/",,Activision BlizzardMicrosoftThe Washington Post,,08.01.2023 08:37:00
2055381080528,Navigimi i Google Maps në Wear OS tani funksionon pa telefon,https://telegrafi.com/navigimi-google-maps-ne-wear-os-tani-funksionon-pa-telefon/,TEKNOLOGJI / LAJME TEKNOLOGJI,https://telegrafi.com/wp-content/uploads/2023/01/gsmarena_001-780x439.png,"Titulli thotë gjithçka: duke filluar që tani, navigimi “hap-pas-hapi” në orët inteligjente Wear OS mund të funksionojë edhe pa një telefon të lidhur me orën. Megjithatë, do t’ju duhet ende një lidhje interneti – pra ky nuk është navigim “offline”.
Kjo do të thotë se vetëm orët inteligjente Wear OS me mbështetje LTE, do të jenë në gjendje të përfitojnë nga kjo veçori praktikisht kudo në botë, për sa kohë që ka një sinjal rrjeti.
Reklama
Pause
Loaded:
Remaining Time 
-1:36
Unmute
×
Nga ana tjetër, nëse ora juaj inteligjente Wear OS nuk mbështet lidhjen me rrjetin LTE, ju gjithsesi mund të përdorni navigimin hap pas hapi në Google Maps pa telefon, për sa kohë që ora është e lidhur me një rrjet Wi-Fi, shkruan GSM Arena, transmeton Telegrafi.
Reklama
Mbetet për t’u parë se sa e përdorshme do të jetë kjo në ambient të hapur – në fund të fundit, rrjetet Wi-Fi nuk dihet se lëvizin shumë, ndërsa “navigimi” nënkupton shumë lëvizje.
Prapëseprapë, veçoria tani është në dispozicion, dhe ju mund të merrni navigimin “hap-pas-hapi” në Maps ndërsa telefoni tuaj mbetet në sfond.
Është e paqartë nëse navigimi offline do të arrijë ndonjëherë në një orë inteligjente, por ky është padyshim një hap i duhur në atë drejtim. /Telegrafi/",,AndroidGoogleGoogle MapsWear OS,,07.01.2023 14:31:00
